,Dist1,Dist2
0,0.000483271,0.014939266
1,0.002949809,0.041211528
2,0.004307806,0.051100228
3,0.005411766,0.058198524
4,0.008340111,0.074554084
5,0.013095275,0.096688882
6,0.015730881,0.107518499
7,0.01636386,0.110006743
8,0.019502153,0.121810558
9,0.019715603,0.122584462
10,0.023453987,0.135635666
11,0.025848283,0.143558061
12,0.025931629,0.143828442
13,0.026937799,0.147065668
14,0.028502936,0.152007243
15,0.031731551,0.161872645
16,0.037546086,0.178689938
17,0.037548897,0.178697808
18,0.042331038,0.19177095
19,0.046542665,0.202811688
20,0.050085741,0.211800617
21,0.050958468,0.213976306
22,0.05191941,0.216355215
23,0.052371861,0.21746937
24,0.057371761,0.22954266
25,0.057684138,0.230283126
26,0.057773888,0.230495585
27,0.064852696,0.24687201
28,0.065867264,0.249161326
29,0.067796462,0.253477359
30,0.068127731,0.254213701
31,0.069412627,0.257056829
32,0.069886147,0.258099493
33,0.070110874,0.258593382
34,0.071414832,0.261447211
35,0.072279135,0.263327805
36,0.075299764,0.269833596
37,0.075560247,0.270389896
38,0.076378294,0.272132204
39,0.079147539,0.277977994
40,0.079770324,0.279281846
41,0.083064403,0.286114723
42,0.083812031,0.287651038
43,0.086540775,0.293214642
44,0.086813829,0.293767667
45,0.088010323,0.296183209
46,0.092072087,0.304291819
47,0.092419215,0.304978437
48,0.092421084,0.304982131
49,0.092880873,0.305890081
50,0.093309401,0.306734765
51,0.09732689,0.314583574
52,0.098579145,0.317004848
53,0.099241406,0.318280645
54,0.101010319,0.321672653
55,0.105065423,0.329365072
56,0.106285859,0.33165817
57,0.107027749,0.333047268
58,0.108373026,0.335556925
59,0.109030121,0.336778491
60,0.1107503,0.339963326
61,0.111817771,0.341930351
62,0.116206507,0.349944448
63,0.125688925,0.366882501
64,0.126717842,0.368691163
65,0.127862683,0.370697165
66,0.128850449,0.372422556
67,0.128898478,0.372506325
68,0.129091859,0.372843489
69,0.130543044,0.375367685
70,0.131691266,0.377357497
71,0.134415423,0.38205264
72,0.135216847,0.383427147
73,0.136175366,0.385067107
74,0.137106837,0.386656679
75,0.137959375,0.388108034
76,0.138059654,0.388278529
77,0.139557358,0.390819477
78,0.139791028,0.391214998
79,0.140486763,0.392391177
80,0.141040819,0.393326293
81,0.144097758,0.398461374
82,0.144683268,0.399440288
83,0.144717461,0.39949741
84,0.148820044,0.406315215
85,0.149461392,0.407374698
86,0.150067567,0.40837453
87,0.151540545,0.410797871
88,0.157242625,0.420097955
89,0.160640138,0.425580065
90,0.160764232,0.425779486
91,0.161133386,0.426372382
92,0.164848318,0.43231132
93,0.165132212,0.432763133
94,0.167438934,0.436423704
95,0.167682459,0.436809071
96,0.168296797,0.437780318
97,0.169562568,0.439777358
98,0.170813489,0.44174559
99,0.17381839,0.446452064
100,0.17646076,0.450566085
101,0.176837127,0.451150222
102,0.177534038,0.452230654
103,0.180858688,0.457363666
104,0.18192748,0.459006438
105,0.181949646,0.459040472
106,0.182197482,0.459420883
107,0.183250608,0.461035249
108,0.184825236,0.46344272
109,0.185182214,0.463987463
110,0.185385602,0.464297659
111,0.185462342,0.464414665
112,0.189499574,0.47054559
113,0.193231626,0.476170751
114,0.194385467,0.477901838
115,0.195705623,0.479877854
116,0.196513257,0.481084327
117,0.196544977,0.481131676
118,0.197369109,0.482360861
119,0.199115893,0.484960006
120,0.199452902,0.485460505
121,0.199826487,0.486014964
122,0.200326289,0.486756158
123,0.200781253,0.487430272
124,0.204858288,0.493446567
125,0.205424919,0.494279255
126,0.206148886,0.495341943
127,0.210375874,0.501519746
128,0.210831422,0.502182832
129,0.212039183,0.503938312
130,0.212798779,0.505040525
131,0.214637591,0.507702846
132,0.215308483,0.508672133
133,0.222524206,0.519029018
134,0.225953346,0.523908242
135,0.226076744,0.524083319
136,0.227372543,0.525919732
137,0.228573332,0.527618123
138,0.23646557,0.538701826
139,0.236942396,0.53936716
140,0.240960545,0.544954823
141,0.241518796,0.545728467
142,0.242671326,0.547323648
143,0.242730941,0.547406085
144,0.243560031,0.548551816
145,0.244246868,0.549499905
146,0.246231558,0.552234133
147,0.246241139,0.552247313
148,0.247263292,0.55365238
149,0.24884048,0.555816318
150,0.249731112,0.55703611
151,0.251744985,0.55978852
152,0.252109364,0.560285681
153,0.254839909,0.564003076
154,0.257491245,0.567598986
155,0.258427211,0.568865228
156,0.264159498,0.576584756
157,0.265036487,0.577760462
158,0.265488438,0.578365811
159,0.26772744,0.581359341
160,0.270031759,0.584430867
161,0.270963642,0.585670353
162,0.271022313,0.585748339
163,0.272860664,0.588188861
164,0.274707175,0.590634311
165,0.275235276,0.591332629
166,0.277515243,0.594341998
167,0.278128668,0.59515016
168,0.278335015,0.595421871
169,0.284398965,0.603374926
170,0.286528414,0.606153396
171,0.290349196,0.61112034
172,0.290995324,0.611957989
173,0.295377327,0.617621543
174,0.29547299,0.617744849
175,0.298579544,0.621741412
176,0.299699875,0.623179087
177,0.301968017,0.626083873
178,0.302938452,0.627324335
179,0.30494796,0.629888524
180,0.307580658,0.633238878
181,0.312346924,0.639278679
182,0.315037086,0.642673242
183,0.317133261,0.645311186
184,0.319071991,0.647745513
185,0.320089079,0.649020507
186,0.326042095,0.656454576
187,0.326584909,0.657130044
188,0.326897617,0.657518993
189,0.327718086,0.658538874
190,0.331006913,0.66261804
191,0.331017574,0.66263124
192,0.344840739,0.679622474
193,0.345107539,0.679948039
194,0.346928151,0.682167301
195,0.347927909,0.683384232
196,0.348620181,0.684226164
197,0.348682738,0.684302215
198,0.349663252,0.685493624
199,0.350985949,0.687098959
200,0.351544428,0.687776137
201,0.351982871,0.688307504
202,0.352011805,0.688342561
203,0.352269774,0.688655087
204,0.352435731,0.688856098
205,0.353348881,0.689961537
206,0.354343343,0.691164271
207,0.356757158,0.694078705
208,0.358699352,0.69641869
209,0.360859436,0.699015988
210,0.361066704,0.69926492
211,0.364732856,0.703659821
212,0.371667334,0.711930702
213,0.371778273,0.71206258
214,0.372958028,0.713464161
215,0.373784381,0.714444969
216,0.373907959,0.71459158
217,0.374318483,0.715078498
218,0.375221711,0.716149151
219,0.376254422,0.717372185
220,0.377443865,0.718779388
221,0.378196802,0.719669369
